Codigo Banner,Carrera,Código Carrera,Sede,Campus,Código Campus,Régimen,Código Régimen
ECO4279,DIPLOMADO EN KINESIOLOGÍA RESPIRATORIA PARA ATENCIÓN PRIMARIA EN SALUD,PG,Concepción,Concepción,CO,DIURNO,1
EPR4279,DIPLOMADO EN KINESIOLOGÍA RESPIRATORIA PARA ATENCIÓN PRIMARIA EN SALUD,PG,Santiago,Providencia,PR,DIURNO,1
EPR4350,DIPLOMADO EN PRESCRIPCIÓN DE EJERCICIOS DE FUERZA Y MUSCULACIÓN PARA LA ACTIVIDAD FÍSICA,PG,Santiago,Providencia,PR,DIURNO,1
EME3289,DIPLOMADO EN CIRUGÍA DE ANIMALES DE COMPAÑÍA,PG,Santiago,Melipilla,ME,EXECUTIVE,3
EPR3363,DIPLOMADO EN MEDIACIÓN Y RESOLUCIÓN DE CONFLICTOS EN EL ÁMBITO DE LA FAMILIA,PG,Santiago,Providencia,PR,EXECUTIVE,3
EMP4302,DIPLOMADO EN DIAGNÓSTICO Y CONTROL DE PLAGAS URBANAS,PG,Santiago,Maipú,MP,SEMIPRESENCIAL DIURNO,4
EME4392,DIPLOMADO EN ANESTESIA Y MANEJO DE DOLOR EN PEQUEÑOS ANIMALES,PG,Santiago,Melipilla,ME,SEMIPRESENCIAL DIURNO,4
EME4478,DIPLOMADO EN MEDICINA EQUINA,PG,Santiago,Melipilla,ME,SEMIPRESENCIAL DIURNO,4
EME4524,DIPLOMADO EN REHABILITACIÓN Y FISIATRÍA VETERINARIA,PG,Santiago,Melipilla,ME,SEMIPRESENCIAL DIURNO,4
EPR4500,DIPLOMADO EN FISIOLOGÍA HUMANA CON ORIENTACIÓN CLÍNICA,PG,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
EPR4416,DIPLOMADO EN GESTIÓN Y OPERACIÓN EN ALIMENTOS Y BEBIDAS,PG,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
EPR4522,DIPLOMADO EN HERRAMIENTAS SOCIOEMOCIONALES PARA LA ACTIVIDAD FÍSICA Y EL DEPORTE,PG,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
EPR4358,DIPLOMADO EN SALUD MENTAL: ABORDAJE INTERDISCIPLINARIO Y GESTIÓN CLÍNICA,PG,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
EPR4526,DIPLOMADO EN TRAUMATOLOGÍA Y ORTOPEDIA VETERINARIA,PG,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
