Codigo Banner,Carrera,Código Carrera,Sede,Campus,Código Campus,Régimen,Código Régimen
USC1318,Administración Pública,318,Santiago,Santiago Centro,SC,DIURNO,1
UME153,Agronomía,53,Santiago,Melipilla,ME,DIURNO,1
UPR153,Agronomía,53,Santiago,Providencia,PR,DIURNO,1
UPR1103,Animación Digital,103,Santiago,Providencia,PR,DIURNO,1
UPR160,Arquitectura,60,Santiago,Providencia,PR,DIURNO,1
USC174,Comunicación Audiovisual y Multimedia,74,Santiago,Santiago Centro,SC,DIURNO,1
UPR161,Construcción Civil,61,Santiago,Providencia,PR,DIURNO,1
USC159,Contador Auditor,59,Santiago,Santiago Centro,SC,DIURNO,1
UPR156,Derecho,56,Santiago,Providencia,PR,DIURNO,1
USC156,Derecho,56,Santiago,Santiago Centro,SC,DIURNO,1
UCO156,Derecho,56,Concepción,Concepción,CO,DIURNO,1
UVL156,Derecho,56,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1644,Diseño,644,Santiago,Providencia,PR,DIURNO,1
USC166,Educación Parvularia,66,Santiago,Santiago Centro,SC,DIURNO,1
ZLF1157,Enfermería,157,Santiago,La Florida,LF,DIURNO,1
ZMP1157,Enfermería,157,Santiago,Maipú,MP,DIURNO,1
ZPR1157,Enfermería,157,Santiago,Providencia,PR,DIURNO,1
ZSC1157,Enfermería,157,Santiago,Santiago Centro,SC,DIURNO,1
UPR1157,Enfermería,157,Santiago,Providencia,PR,DIURNO,1
ULF1157,Enfermería,157,Santiago,La Florida,LF,DIURNO,1
UMP1157,Enfermería,157,Santiago,Maipú,MP,DIURNO,1
USC1157,Enfermería,157,Santiago,Santiago Centro,SC,DIURNO,1
UCO1157,Enfermería,157,Concepción,Concepción,CO,DIURNO,1
UVL1157,Enfermería,157,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1203,Fonoaudiología,203,Santiago,Providencia,PR,DIURNO,1
UCO1203,Fonoaudiología,203,Concepción,Concepción,CO,DIURNO,1
UVL1203,Fonoaudiología,203,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1623,Gastronomía y Negocios Gastronómicos,623,Santiago,Providencia,PR,DIURNO,1
USC154,Ingeniería Civil Industrial,54,Santiago,Santiago Centro,SC,DIURNO,1
UPR1652,Ingeniería Comercial,652,Santiago,Providencia,PR,DIURNO,1
ULF1652,Ingeniería Comercial,652,Santiago,La Florida,LF,DIURNO,1
UCO1652,Ingeniería Comercial,652,Concepción,Concepción,CO,DIURNO,1
UVL1652,Ingeniería Comercial,652,Viña del Mar,Viña del Mar,VL,DIURNO,1
USC1681,Ingeniería en Informática,681,Santiago,Santiago Centro,SC,DIURNO,1
UPR1112,Kinesiología,112,Santiago,Providencia,PR,DIURNO,1
ULF1112,Kinesiología,112,Santiago,La Florida,LF,DIURNO,1
UMP1112,Kinesiología,112,Santiago,Maipú,MP,DIURNO,1
USC1112,Kinesiología,112,Santiago,Santiago Centro,SC,DIURNO,1
UCO1112,Kinesiología,112,Concepción,Concepción,CO,DIURNO,1
UVL1112,Kinesiología,112,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1294,Licenciatura en Ciencias de la Actividad Física,294,Santiago,Providencia,PR,DIURNO,1
ZPR1294,Licenciatura en Ciencias de la Actividad Física - Continuidad de Estudios,294,Santiago,Providencia,PR,DIURNO,1
ZCO1294,Licenciatura en Ciencias de la Actividad Física - Continuidad de Estudios,294,Concepción,Concepción,CO,DIURNO,1
ZVL1294,Licenciatura en Ciencias de la Actividad Física - Continuidad de Estudios,294,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR163,Medicina Veterinaria,63,Santiago,Providencia,PR,DIURNO,1
ULF163,Medicina Veterinaria,63,Santiago,La Florida,LF,DIURNO,1
UMP163,Medicina Veterinaria,63,Santiago,Maipú,MP,DIURNO,1
USC163,Medicina Veterinaria,63,Santiago,Santiago Centro,SC,DIURNO,1
UME163,Medicina Veterinaria,63,Santiago,Melipilla,ME,DIURNO,1
UCO163,Medicina Veterinaria,63,Concepción,Concepción,CO,DIURNO,1
UVL163,Medicina Veterinaria,63,Viña del Mar,Viña del Mar,VL,DIURNO,1
CPR163,Medicina Veterinaria - Continuidad de Estudios,63,Santiago,Providencia,PR,DIURNO,1
CSC163,Medicina Veterinaria - Continuidad de Estudios,63,Santiago,Santiago Centro,SC,DIURNO,1
CCO163,Medicina Veterinaria - Continuidad de Estudios,63,Concepción,Concepción,CO,DIURNO,1
UPR1132,Nutrición y Dietética,132,Santiago,Providencia,PR,DIURNO,1
USC1132,Nutrición y Dietética,132,Santiago,Santiago Centro,SC,DIURNO,1
UCO1132,Nutrición y Dietética,132,Concepción,Concepción,CO,DIURNO,1
UVL1132,Nutrición y Dietética,132,Viña del Mar,Viña del Mar,VL,DIURNO,1
UVL1422,Obstetricia y Puericultura,422,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1422,Obstetricia y Puericultura,422,Santiago,Providencia,PR,DIURNO,1
USC167,Pedagogía en Educación Básica,67,Santiago,Santiago Centro,SC,DIURNO,1
USC1149,Pedagogía en Educación Diferencial,149,Santiago,Santiago Centro,SC,DIURNO,1
USC168,Pedagogía en Educación Física,68,Santiago,Santiago Centro,SC,DIURNO,1
ZSC168,Pedagogía en Educación Física - Prosecución de Estudios,68,Santiago,Santiago Centro,SC,DIURNO,1
USC165,Periodismo,65,Santiago,Santiago Centro,SC,DIURNO,1
UPR158,Psicología,58,Santiago,Providencia,PR,DIURNO,1
ULF158,Psicología,58,Santiago,La Florida,LF,DIURNO,1
UMP158,Psicología,58,Santiago,Maipú,MP,DIURNO,1
USC158,Psicología,58,Santiago,Santiago Centro,SC,DIURNO,1
UCO158,Psicología,58,Concepción,Concepción,CO,DIURNO,1
UVL158,Psicología,58,Viña del Mar,Viña del Mar,VL,DIURNO,1
UPR1204,Terapia Ocupacional,204,Santiago,Providencia,PR,DIURNO,1
UCO1204,Terapia Ocupacional,204,Concepción,Concepción,CO,DIURNO,1
UVL1204,Terapia Ocupacional,204,Viña del Mar,Viña del Mar,VL,DIURNO,1
USC1135,Trabajo Social,135,Santiago,Santiago Centro,SC,DIURNO,1
UPR195,Traducción e Interpretación en Inglés,95,Santiago,Providencia,PR,DIURNO,1
UCO195,Traducción e Interpretación en Inglés,95,Concepción,Concepción,CO,DIURNO,1
UVL195,Traducción e Interpretación en Inglés,95,Viña del Mar,Viña del Mar,VL,DIURNO,1
ZPR2294,Licenciatura en Ciencias de la Actividad Física - Continuidad de Estudios,294,Santiago,Providencia,PR,VESPERTINO,2
ZPR361,Construcción Civil - Continuidad de Estudios,61,Santiago,Providencia,PR,EXECUTIVE,3
UPR356,Derecho,56,Santiago,Providencia,PR,EXECUTIVE,3
ULF356,Derecho,56,Santiago,La Florida,LF,EXECUTIVE,3
USC356,Derecho,56,Santiago,Santiago Centro,SC,EXECUTIVE,3
UCO356,Derecho,56,Concepción,Concepción,CO,EXECUTIVE,3
UVL356,Derecho,56,Viña del Mar,Viña del Mar,VL,EXECUTIVE,3
ZSC3682,Ingeniería en Administración de Empresas - Continuidad de Estudios,682,Santiago,Santiago Centro,SC,EXECUTIVE,3
CSC3682,Ingeniería en Administración de Empresas - Continuidad de Estudios,682,Santiago,Santiago Centro,SC,EXECUTIVE,3
USC4139,TNS en Administración de Empresas,139,Santiago,Santiago Centro,SC,SEMIPRESENCIAL DIURNO,4
ULF4184,TNS en Enfermería,184,Santiago,La Florida,LF,SEMIPRESENCIAL DIURNO,4
UMP4184,TNS en Enfermería,184,Santiago,Maipú,MP,SEMIPRESENCIAL DIURNO,4
USC4184,TNS en Enfermería,184,Santiago,Santiago Centro,SC,SEMIPRESENCIAL DIURNO,4
UCO4229,TNS en Veterinaria,229,Concepción,Concepción,CO,SEMIPRESENCIAL DIURNO,4
UPR4229,TNS en Veterinaria,229,Santiago,Providencia,PR,SEMIPRESENCIAL DIURNO,4
USC4229,TNS en Veterinaria,229,Santiago,Santiago Centro,SC,SEMIPRESENCIAL DIURNO,4
UME4229,TNS en Veterinaria,229,Santiago,Melipilla,ME,SEMIPRESENCIAL DIURNO,4
ZOL6623,Gastronomía y Negocios Gastronómicos - Continuidad de Estudios,623,Online,Online,OL,A DISTANCIA SINCRÓNICO,6
UOL6239,Ingeniería en Prevención de Riesgos y Medio Ambiente,239,Online,Online,OL,A DISTANCIA SINCRÓNICO,6
ZOL6239,Ingeniería en Prevención de Riesgos y Medio Ambiente - Continuidad de Estudios,239,Online,Online,OL,A DISTANCIA SINCRÓNICO,6
UOL655,Publicidad,55,Online,Online,OL,A DISTANCIA SINCRÓNICO,6
UOL6657,Relaciones Públicas,657,Online,Online,OL,A DISTANCIA SINCRÓNICO,6
XOL7318,Administración Pública - Continuidad de Estudios,318,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
YOL7318,Administración Pública - Continuidad de Estudios,318,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7318,Administración Pública - Continuidad de Estudios,318,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL759,Contador Auditor,59,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL759,Contador Auditor - Continuidad de Estudios,59,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
COL754,Ingeniería Civil Industrial - Continuidad de Estudios,54,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
XOL754,Ingeniería Civil Industrial - Continuidad de Estudios,54,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL754,Ingeniería Civil Industrial - Continuidad de Estudios,54,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7652,Ingeniería Comercial,652,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7652,Ingeniería Comercial - Continuidad de Estudios,652,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
COL7652,Ingeniería Comercial - Continuidad de Estudios,652,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
VOL7652,Ingeniería Comercial - Continuidad de Estudios,652,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
YOL7652,Ingeniería Comercial - Continuidad de Estudios,652,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7682,Ingeniería en Administración de Empresas,682,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7682,Ingeniería en Administración de Empresas - Continuidad de Estudios,682,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
COL7682,Ingeniería en Administración de Empresas - Continuidad de Estudios,682,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7346,Ingeniería en Ciberseguridad,346,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7344,Ingeniería en Información y Control de Gestión  - Continuidad de Estudios,344,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
YOL7344,Ingeniería en Información y Control de Gestión  - Continuidad de Estudios,344,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7681,Ingeniería en Informática,681,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7681,Ingeniería en Informática - Continuidad de Estudios,681,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7684,Ingeniería Industrial,684,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZOL7684,Ingeniería Industrial - Continuidad de Estudios,684,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
YOL7684,Ingeniería Industrial - Continuidad de Estudios,684,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
XOL7684,Ingeniería Industrial - Continuidad de Estudios,684,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
UOL7139,TNS en Administración de Empresas,139,Online,Online,OL,A DISTANCIA ASINCRÓNICO,7
ZPR853,Agronomía - Continuidad de Estudios,53,Santiago,Providencia,PR,SEMIPRESENCIAL VESPERTINO,8
UPR8203,Fonoaudiología,203,Santiago,Providencia,PR,SEMIPRESENCIAL VESPERTINO,8
USC8132,Nutrición y Dietética,132,Santiago,Santiago Centro,SC,SEMIPRESENCIAL VESPERTINO,8
UVL8132,Nutrición y Dietética,132,Viña del Mar,Viña del Mar,VL,SEMIPRESENCIAL VESPERTINO,8
UPR8204,Terapia Ocupacional,204,Santiago,Providencia,PR,SEMIPRESENCIAL VESPERTINO,8
UVL8204,Terapia Ocupacional,204,Viña del Mar,Viña del Mar,VL,SEMIPRESENCIAL VESPERTINO,8
UPR8383,TNS Agrícola,383,Santiago,Providencia,PR,SEMIPRESENCIAL VESPERTINO,8
UME8383,TNS Agrícola,383,Santiago,Melipilla,ME,SEMIPRESENCIAL VESPERTINO,8
USC8139,TNS en Administración de Empresas,139,Santiago,Santiago Centro,SC,SEMIPRESENCIAL VESPERTINO,8
UCO8139,TNS en Administración de Empresas,139,Concepción,Concepción,CO,SEMIPRESENCIAL VESPERTINO,8
USC8135,Trabajo Social,135,Santiago,Santiago Centro,SC,SEMIPRESENCIAL VESPERTINO,8
UCO8135,Trabajo Social,135,Concepción,Concepción,CO,SEMIPRESENCIAL VESPERTINO,8
UVL8135,Trabajo Social,135,Viña del Mar,Viña del Mar,VL,SEMIPRESENCIAL VESPERTINO,8
USC963,Medicina Veterinaria,63,Santiago,Santiago Centro,SC,SEMIPRESENCIAL EXECUTIVE,9
UME963,Medicina Veterinaria,63,Santiago,Melipilla,ME,SEMIPRESENCIAL EXECUTIVE,9
UCO963,Medicina Veterinaria,63,Concepción,Concepción,CO,SEMIPRESENCIAL EXECUTIVE,9
UVL963,Medicina Veterinaria,63,Viña del Mar,Viña del Mar,VL,SEMIPRESENCIAL EXECUTIVE,9
UPR958,Psicología,58,Santiago,Providencia,PR,SEMIPRESENCIAL EXECUTIVE,9
ULF958,Psicología,58,Santiago,La Florida,LF,SEMIPRESENCIAL EXECUTIVE,9
UMP958,Psicología,58,Santiago,Maipú,MP,SEMIPRESENCIAL EXECUTIVE,9
USC958,Psicología,58,Santiago,Santiago Centro,SC,SEMIPRESENCIAL EXECUTIVE,9
UCO958,Psicología,58,Concepción,Concepción,CO,SEMIPRESENCIAL EXECUTIVE,9
UVL958,Psicología,58,Viña del Mar,Viña del Mar,VL,SEMIPRESENCIAL EXECUTIVE,9
